Key,Chord_Progression,ChordName,Voicing,Emotion,Scale,File_Path
Db,V7-bIIImaj7,Ab7-Emaj7,Four-Way Close,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/C#:Db.mid
C,V7-bIIImaj7,G7-Ebmaj7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/C:B#.mid
Eb,V7-bIIImaj7,Bb7-F#maj7,Four-Way Close,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/D#:Eb.mid
D,V7-bIIImaj7,A7-Fmaj7,Four-Way Close,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/D.mid
E,V7-bIIImaj7,B7-Gmaj7,Four-Way Close,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/E:Fb.mid
F#,V7-bIIImaj7,Db7-Amaj7,Four-Way Close,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/F#:Gb.mid
F,V7-bIIImaj7,C7-Abmaj7,Four-Way Close,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/F:E#.mid
Ab,V7-bIIImaj7,Eb7-Bmaj7,Four-Way Close,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/G#:Ab.mid
G,V7-bIIImaj7,D7-Bbmaj7,Four-Way Close,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/G.mid
Bb,V7-bIIImaj7,F7-Dbmaj7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/A#:Bb.mid
A,V7-bIIImaj7,E7-Cmaj7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/A.mid
B,V7-bIIImaj7,F#7-Dmaj7,Drop 2,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/B:Cb.mid
Db,V7-bIIImaj7,Ab7-Emaj7,Drop 2,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/C#:Db.mid
C,V7-bIIImaj7,G7-Ebmaj7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/C:B#.mid
Eb,V7-bIIImaj7,Bb7-F#maj7,Drop 2,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/D#:Eb.mid
D,V7-bIIImaj7,A7-Fmaj7,Drop 2,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/D.mid
E,V7-bIIImaj7,B7-Gmaj7,Drop 2,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/E:Fb.mid
F#,V7-bIIImaj7,Db7-Amaj7,Drop 2,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/F#:Gb.mid
F,V7-bIIImaj7,C7-Abmaj7,Drop 2,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/F:E#.mid
Ab,V7-bIIImaj7,Eb7-Bmaj7,Drop 2,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/G#:Ab.mid
G,V7-bIIImaj7,D7-Bbmaj7,Drop 2,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwo/G.mid
Bb,V7-bIIImaj7,F7-Dbmaj7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/A#:Bb.mid
A,V7-bIIImaj7,E7-Cmaj7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/A.mid
B,V7-bIIImaj7,F#7-Dmaj7,Drop 2+4,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/B:Cb.mid
Db,V7-bIIImaj7,Ab7-Emaj7,Drop 2+4,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/C#:Db.mid
C,V7-bIIImaj7,G7-Ebmaj7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/C:B#.mid
Eb,V7-bIIImaj7,Bb7-F#maj7,Drop 2+4,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/D#:Eb.mid
D,V7-bIIImaj7,A7-Fmaj7,Drop 2+4,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/D.mid
E,V7-bIIImaj7,B7-Gmaj7,Drop 2+4,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/E:Fb.mid
F#,V7-bIIImaj7,Db7-Amaj7,Drop 2+4,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/F#:Gb.mid
F,V7-bIIImaj7,C7-Abmaj7,Drop 2+4,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/F:E#.mid
Ab,V7-bIIImaj7,Eb7-Bmaj7,Drop 2+4,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/G#:Ab.mid
G,V7-bIIImaj7,D7-Bbmaj7,Drop 2+4,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropTwoFour/G.mid
Bb,V7-bIIImaj7,F7-Dbmaj7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/A#:Bb.mid
A,V7-bIIImaj7,E7-Cmaj7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/A.mid
B,V7-bIIImaj7,F#7-Dmaj7,Drop 3,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/B:Cb.mid
Db,V7-bIIImaj7,Ab7-Emaj7,Drop 3,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/C#:Db.mid
C,V7-bIIImaj7,G7-Ebmaj7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/C:B#.mid
Eb,V7-bIIImaj7,Bb7-F#maj7,Drop 3,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/D#:Eb.mid
D,V7-bIIImaj7,A7-Fmaj7,Drop 3,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/D.mid
E,V7-bIIImaj7,B7-Gmaj7,Drop 3,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/E:Fb.mid
F#,V7-bIIImaj7,Db7-Amaj7,Drop 3,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/F#:Gb.mid
F,V7-bIIImaj7,C7-Abmaj7,Drop 3,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/F:E#.mid
Ab,V7-bIIImaj7,Eb7-Bmaj7,Drop 3,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/G#:Ab.mid
G,V7-bIIImaj7,D7-Bbmaj7,Drop 3,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/DropThree/G.mid
Bb,V7-bIImaj7,F7-Bmaj7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/A#:Bb.mid
A,V7-bIImaj7,E7-Bbmaj7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/A.mid
B,V7-bIImaj7,F#7-Cmaj7,Four-Way Close,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/B:Cb.mid
Db,V7-bIImaj7,Ab7-Dmaj7,Four-Way Close,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/C#:Db.mid
C,V7-bIImaj7,G7-Dbmaj7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/C:B#.mid
Eb,V7-bIImaj7,Bb7-Emaj7,Four-Way Close,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/D#:Eb.mid
D,V7-bIImaj7,A7-Ebmaj7,Four-Way Close,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/D.mid
E,V7-bIImaj7,B7-Fmaj7,Four-Way Close,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/E:Fb.mid
F#,V7-bIImaj7,Db7-Gmaj7,Four-Way Close,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/F#:Gb.mid
F,V7-bIImaj7,C7-F#maj7,Four-Way Close,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/F:E#.mid
Ab,V7-bIImaj7,Eb7-Amaj7,Four-Way Close,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/G#:Ab.mid
G,V7-bIImaj7,D7-Abmaj7,Four-Way Close,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /FourWayClose/G.mid
Bb,V7-bIImaj7,F7-Bmaj7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/A#:Bb.mid
A,V7-bIImaj7,E7-Bbmaj7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/A.mid
B,V7-bIImaj7,F#7-Cmaj7,Drop 2,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/B:Cb.mid
Db,V7-bIImaj7,Ab7-Dmaj7,Drop 2,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/C#:Db.mid
C,V7-bIImaj7,G7-Dbmaj7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/C:B#.mid
Eb,V7-bIImaj7,Bb7-Emaj7,Drop 2,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/D#:Eb.mid
D,V7-bIImaj7,A7-Ebmaj7,Drop 2,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/D.mid
E,V7-bIImaj7,B7-Fmaj7,Drop 2,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/E:Fb.mid
F#,V7-bIImaj7,Db7-Gmaj7,Drop 2,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/F#:Gb.mid
F,V7-bIImaj7,C7-F#maj7,Drop 2,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/F:E#.mid
Ab,V7-bIImaj7,Eb7-Amaj7,Drop 2,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/G#:Ab.mid
G,V7-bIImaj7,D7-Abmaj7,Drop 2,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwo/G.mid
Bb,V7-bIImaj7,F7-Bmaj7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/A#:Bb.mid
A,V7-bIImaj7,E7-Bbmaj7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/A.mid
B,V7-bIImaj7,F#7-Cmaj7,Drop 2+4,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/B:Cb.mid
Db,V7-bIImaj7,Ab7-Dmaj7,Drop 2+4,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/C#:Db.mid
C,V7-bIImaj7,G7-Dbmaj7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/C:B#.mid
Eb,V7-bIImaj7,Bb7-Emaj7,Drop 2+4,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/D#:Eb.mid
D,V7-bIImaj7,A7-Ebmaj7,Drop 2+4,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/D.mid
E,V7-bIImaj7,B7-Fmaj7,Drop 2+4,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/E:Fb.mid
F#,V7-bIImaj7,Db7-Gmaj7,Drop 2+4,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/F#:Gb.mid
F,V7-bIImaj7,C7-F#maj7,Drop 2+4,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/F:E#.mid
Ab,V7-bIImaj7,Eb7-Amaj7,Drop 2+4,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/G#:Ab.mid
G,V7-bIImaj7,D7-Abmaj7,Drop 2+4,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropTwoFour/G.mid
Bb,V7-bIImaj7,F7-Bmaj7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/A#:Bb.mid
A,V7-bIImaj7,E7-Bbmaj7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/A.mid
B,V7-bIImaj7,F#7-Cmaj7,Drop 3,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/B:Cb.mid
Db,V7-bIImaj7,Ab7-Dmaj7,Drop 3,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/C#:Db.mid
C,V7-bIImaj7,G7-Dbmaj7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/C:B#.mid
Eb,V7-bIImaj7,Bb7-Emaj7,Drop 3,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/D#:Eb.mid
D,V7-bIImaj7,A7-Ebmaj7,Drop 3,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/D.mid
E,V7-bIImaj7,B7-Fmaj7,Drop 3,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/E:Fb.mid
F#,V7-bIImaj7,Db7-Gmaj7,Drop 3,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/F#:Gb.mid
F,V7-bIImaj7,C7-F#maj7,Drop 3,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/F:E#.mid
Ab,V7-bIImaj7,Eb7-Amaj7,Drop 3,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/G#:Ab.mid
G,V7-bIImaj7,D7-Abmaj7,Drop 3,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIImaj7 /DropThree/G.mid
Bb,V7-bVIImaj7,F7-Abmaj7,Four-Way Close,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/A#:Bb.mid
A,V7-bVIImaj7,E7-Gmaj7,Four-Way Close,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/A.mid
B,V7-bVIImaj7,F#7-Amaj7,Four-Way Close,Fantasy,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/B:Cb.mid
Db,V7-bVIImaj7,Ab7-Bmaj7,Four-Way Close,Depressive,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/C#:Db.mid
C,V7-bVIImaj7,G7-Bbmaj7,Four-Way Close,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/C:B#.mid
Eb,V7-bVIImaj7,Bb7-Dbmaj7,Four-Way Close,Love,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/D#:Eb.mid
D,V7-bVIImaj7,A7-Cmaj7,Four-Way Close,Delicate,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/D.mid
E,V7-bVIImaj7,B7-Dmaj7,Four-Way Close,Vital,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/E:Fb.mid
F#,V7-bVIImaj7,Db7-Emaj7,Four-Way Close,Victorious,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/F#:Gb.mid
F,V7-bVIImaj7,C7-Ebmaj7,Four-Way Close,soft,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/F:E#.mid
Ab,V7-bVIImaj7,Eb7-F#maj7,Four-Way Close,Epic,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/G#:Ab.mid
G,V7-bVIImaj7,D7-Fmaj7,Four-Way Close,Fantasy,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/FourWayClose/G.mid
Bb,V7-bVIImaj7,F7-Abmaj7,Drop 2,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/A#:Bb.mid
A,V7-bVIImaj7,E7-Gmaj7,Drop 2,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/A.mid
B,V7-bVIImaj7,F#7-Amaj7,Drop 2,Fantasy,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/B:Cb.mid
Db,V7-bVIImaj7,Ab7-Bmaj7,Drop 2,Depressive,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/C#:Db.mid
C,V7-bVIImaj7,G7-Bbmaj7,Drop 2,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/C:B#.mid
Eb,V7-bVIImaj7,Bb7-Dbmaj7,Drop 2,Love,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/D#:Eb.mid
D,V7-bVIImaj7,A7-Cmaj7,Drop 2,Delicate,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/D.mid
E,V7-bVIImaj7,B7-Dmaj7,Drop 2,Vital,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/E:Fb.mid
F#,V7-bVIImaj7,Db7-Emaj7,Drop 2,Victorious,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/F#:Gb.mid
F,V7-bVIImaj7,C7-Ebmaj7,Drop 2,soft,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/F:E#.mid
Ab,V7-bVIImaj7,Eb7-F#maj7,Drop 2,Epic,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/G#:Ab.mid
G,V7-bVIImaj7,D7-Fmaj7,Drop 2,Fantasy,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwo/G.mid
Bb,V7-bVIImaj7,F7-Abmaj7,Drop 2+4,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/A#:Bb.mid
A,V7-bVIImaj7,E7-Gmaj7,Drop 2+4,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/A.mid
B,V7-bVIImaj7,F#7-Amaj7,Drop 2+4,Fantasy,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/B:Cb.mid
Db,V7-bVIImaj7,Ab7-Bmaj7,Drop 2+4,Depressive,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/C#:Db.mid
C,V7-bVIImaj7,G7-Bbmaj7,Drop 2+4,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/C:B#.mid
Eb,V7-bVIImaj7,Bb7-Dbmaj7,Drop 2+4,Love,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/D#:Eb.mid
D,V7-bVIImaj7,A7-Cmaj7,Drop 2+4,Delicate,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/D.mid
E,V7-bVIImaj7,B7-Dmaj7,Drop 2+4,Vital,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/E:Fb.mid
F#,V7-bVIImaj7,Db7-Emaj7,Drop 2+4,Victorious,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/F#:Gb.mid
F,V7-bVIImaj7,C7-Ebmaj7,Drop 2+4,soft,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/F:E#.mid
Ab,V7-bVIImaj7,Eb7-F#maj7,Drop 2+4,Epic,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/G#:Ab.mid
G,V7-bVIImaj7,D7-Fmaj7,Drop 2+4,Fantasy,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropTwoFour/G.mid
Bb,V7-bVIImaj7,F7-Abmaj7,Drop 3,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/A#:Bb.mid
A,V7-bVIImaj7,E7-Gmaj7,Drop 3,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/A.mid
B,V7-bVIImaj7,F#7-Amaj7,Drop 3,Fantasy,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/B:Cb.mid
Db,V7-bVIImaj7,Ab7-Bmaj7,Drop 3,Depressive,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/C#:Db.mid
C,V7-bVIImaj7,G7-Bbmaj7,Drop 3,Joyful,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/C:B#.mid
Eb,V7-bVIImaj7,Bb7-Dbmaj7,Drop 3,Love,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/D#:Eb.mid
D,V7-bVIImaj7,A7-Cmaj7,Drop 3,Delicate,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/D.mid
E,V7-bVIImaj7,B7-Dmaj7,Drop 3,Vital,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/E:Fb.mid
F#,V7-bVIImaj7,Db7-Emaj7,Drop 3,Victorious,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/F#:Gb.mid
F,V7-bVIImaj7,C7-Ebmaj7,Drop 3,soft,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/F:E#.mid
Ab,V7-bVIImaj7,Eb7-F#maj7,Drop 3,Epic,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/G#:Ab.mid
G,V7-bVIImaj7,D7-Fmaj7,Drop 3,Fantasy,Mixolydian,Dataset/Deceptive_Resolution/Primary/V7 - bVIImaj7/DropThree/G.mid
Bb,V7-bVImaj7,F7-F#maj7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/A#:Bb.mid
A,V7-bVImaj7,E7-Fmaj7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/A.mid
B,V7-bVImaj7,F#7-Gmaj7,Four-Way Close,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/B:Cb.mid
Db,V7-bVImaj7,Ab7-Amaj7,Four-Way Close,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/C#:Db.mid
C,V7-bVImaj7,G7-Abmaj7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/C:B#.mid
Eb,V7-bVImaj7,Bb7-Bmaj7,Four-Way Close,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/D#:Eb.mid
D,V7-bVImaj7,A7-Bbmaj7,Four-Way Close,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/D.mid
E,V7-bVImaj7,B7-Cmaj7,Four-Way Close,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/E:Fb.mid
F#,V7-bVImaj7,Db7-Dmaj7,Four-Way Close,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/F#:Gb.mid
F,V7-bVImaj7,C7-Dbmaj7,Four-Way Close,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/F:E#.mid
Ab,V7-bVImaj7,Eb7-Emaj7,Four-Way Close,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/G#:Ab.mid
G,V7-bVImaj7,D7-Ebmaj7,Four-Way Close,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/FourWayClose/G.mid
Bb,V7-bVImaj7,F7-F#maj7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/DropTwo/A#:Bb.mid
A,V7-bVImaj7,E7-Fmaj7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/DropTwo/A.mid
B,V7-bVImaj7,F#7-Gmaj7,Drop 2,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/DropTwo/B:Cb.mid
Db,V7-bVImaj7,Ab7-Amaj7,Drop 2,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/DropTwo/C#:Db.mid
C,V7-bVImaj7,G7-Abmaj7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/DropTwo/C:B#.mid
Eb,V7-bVImaj7,Bb7-Bmaj7,Drop 2,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bVImaj7/DropTwo/D#:Eb.mid
